@relation 'AmericanRiv_TrainNoWaterYear-weka.filters.unsupervised.attribute.Remove-R5-9,14-18,23-27,32-36,41-45,50-54,59-63,68-72,77-81,86-90,92-95,97-101,103-107,109-112,114-117,119-126,128-133,135-142,144-147,149-157,159-181,183-185,187-190,192-195,197-212,217-221'

@attribute CPT_RAIN_OCT numeric
@attribute CPT_RAIN_NOV numeric
@attribute CPT_RAIN_DEC numeric
@attribute CPT_RAIN_JAN numeric
@attribute TAC_RAIN_OCT numeric
@attribute TAC_RAIN_NOV numeric
@attribute TAC_RAIN_DEC numeric
@attribute TAC_RAIN_JAN numeric
@attribute TKE_RAIN_OCT numeric
@attribute TKE_RAIN_NOV numeric
@attribute TKE_RAIN_DEC numeric
@attribute TKE_RAIN_JAN numeric
@attribute BYM_RAIN_OCT numeric
@attribute BYM_RAIN_NOV numeric
@attribute BYM_RAIN_DEC numeric
@attribute BYM_RAIN_JAN numeric
@attribute LSP_RAIN_OCT numeric
@attribute LSP_RAIN_NOV numeric
@attribute LSP_RAIN_DEC numeric
@attribute LSP_RAIN_JAN numeric
@attribute SSR_RAIN_OCT numeric
@attribute SSR_RAIN_NOV numeric
@attribute SSR_RAIN_DEC numeric
@attribute SSR_RAIN_JAN numeric
@attribute PCF_RAIN_OCT numeric
@attribute PCF_RAIN_NOV numeric
@attribute PCF_RAIN_DEC numeric
@attribute PCF_RAIN_JAN numeric
@attribute GRG_RAIN_OCT numeric
@attribute GRG_RAIN_NOV numeric
@attribute GRG_RAIN_DEC numeric
@attribute GRG_RAIN_JAN numeric
@attribute FDD_RAIN_OCT numeric
@attribute FDD_RAIN_NOV numeric
@attribute FDD_RAIN_DEC numeric
@attribute FDD_RAIN_JAN numeric
@attribute PCV_RAIN_OCT numeric
@attribute PCV_RAIN_NOV numeric
@attribute PCV_RAIN_DEC numeric
@attribute PCV_RAIN_JAN numeric
@attribute APH_SNOW_JAN numeric
@attribute CAP_SNOW_JAN numeric
@attribute CC5_SNOW_JAN numeric
@attribute CCO_SNOW_JAN numeric
@attribute DRR_SNOW_JAN numeric
@attribute DNS_SNOW_JAN numeric
@attribute ABN_SNOW_JAN numeric
@attribute SPD_SNOW_JAN numeric
@attribute LCP_SNOW_JAN numeric
@attribute LYN_SNOW_JAN numeric
@attribute PHL_SNOW_JAN numeric
@attribute STW_SNOW_JAN numeric
@attribute TBC_SNOW_JAN numeric
@attribute TMF_SNOW_JAN numeric
@attribute UCP_SNOW_JAN numeric
@attribute OCT_FNF numeric
@attribute NOV_FNF numeric
@attribute DEC_FNF numeric
@attribute JAN_FNF numeric
@attribute APR_JUL_SUM_FNF numeric

@data
?,?,?,?,0.1,3.05,3.9,21.21,0,0.3,2.8,7.75,?,?,?,?,1.72,5.06,7.9,32.22,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.79,2.23,4.3,28.76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25800,38600,103100,859700,3073600
?,?,?,?,0.01,1.79,1.9,2.49,0,0.6,4.2,1.8,?,?,?,?,1.56,3.35,4.37,8.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.98,1.79,2.1,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25900,31100,28300,73200,968500
?,?,?,?,0.65,3.11,2.09,7.44,0.2,1.2,0,7.3,?,?,?,?,3.3,8.46,3.92,9.88,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.58,3.84,1.81,6.67,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,19900,94700,42000,100200,1031300
?,?,?,?,0.1,4.05,9.71,20.49,0.02,2.51,4.23,20.95,?,?,?,?,0,11.09,19.02,29.82,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,5.24,7.85,18.59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13800,37400,137600,1056400,1844800
?,?,?,?,1.28,0.5,3.36,5.18,0.78,0.69,3.5,5.38,?,?,?,?,4.37,0.65,7.2,11.03,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.73,1.11,7.35,7.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25400,29900,47000,100300,2092900
?,?,?,?,0,2.43,6.2,18.2,0,1.6,2.5,14.38,?,?,?,?,0.25,4.13,10.8,32.45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,2.19,7.52,18.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20400,30300,86600,482000,1869900
?,?,?,?,1.2,2.46,7.06,2.23,0.81,1.15,5.9,1.4,?,?,?,?,3.8,5.32,14.23,5.05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.48,2.79,7.09,2.45,?,?,?,?,?,21.4,?,?,?,?,?,?,?,?,?,45000,45800,129400,103100,1861300
?,?,?,?,0.13,1.12,3.38,1.15,0,1.06,1.1,0.6,?,?,?,?,0,1.59,3.75,2.85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,2.65,0.68,1.45,?,?,?,?,?,25.1,?,?,?,?,?,?,?,?,?,15800,17600,37600,23100,925800
?,?,?,?,3.01,2.97,1.33,2.15,2.04,1.1,0.7,1.7,?,?,?,?,3.97,7.08,3.07,5.35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.93,3.61,1.8,3.36,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,61500,54400,49300,46400,1311200
0.69,1.41,9.35,0.45,0.57,0.88,7.19,0.9,0,0.6,6.55,0,?,?,?,?,2.54,2.22,10.71,1.9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.43,0.79,7.96,1.25,?,?,?,?,?,13.3,?,?,?,?,?,?,?,?,?,12900,15400,47100,43800,1040700
8.31,4.37,11.27,26.6,4.19,5.02,7.7,10.28,0,0,0,?,?,?,?,?,9.17,15.77,14.07,16.16,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.89,6.93,9.85,10.86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37900,157400,275100,467800,1392100
1.25,3.15,9.5,4.4,0.52,1.31,8.42,2.95,?,?,?,?,?,?,?,?,1.77,3.16,18.21,5.77,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.88,2.08,9.3,4.58,?,?,?,?,?,18,?,?,?,?,?,?,?,?,?,14200,38800,131000,112700,2278100
1.2,3.04,15.9,8.4,1.05,3.72,10.88,5.79,?,?,?,?,?,?,?,?,3,8.85,17.58,10.19,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.77,9.55,15.61,7.7,?,?,?,?,?,33.4,?,?,?,?,?,?,?,?,?,19300,55800,398000,275000,1560200
1.82,0.7,5.2,4.26,1.69,0.64,2.65,1.54,?,?,?,?,?,?,?,?,2.22,1.41,7.1,4.02,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.11,0.51,4.27,3,?,?,?,?,?,4.2,?,?,?,?,?,?,?,?,?,23200,21100,26800,41900,257300
4.02,2.25,6.85,3,2.63,2.15,3.55,0.94,?,?,?,?,?,?,?,?,9.78,4.75,11.77,4.95,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.11,2.89,7.97,2.06,?,?,?,?,?,10.1,?,?,?,?,?,?,?,?,?,13300,57300,85900,87200,1545800
1.95,3,1.52,2.98,1.14,2.14,2.1,3.93,?,?,?,?,?,?,?,?,2.75,6.51,3.84,7.66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.11,2.88,2.84,3.89,?,?,?,?,?,4.2,?,?,?,?,?,?,?,?,?,20100,32800,53700,48100,770400
0.6,11.9,4,6.85,1.3,10.61,1.68,4.88,?,?,?,?,?,?,?,?,4.19,20.27,2.8,10.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.68,11.56,2.37,6.76,?,?,?,?,?,15.9,?,?,?,?,?,?,?,?,?,13200,180500,141500,222400,1850800
3.6,2.7,3.25,4.71,3,5.35,3.29,1.92,?,?,?,?,?,?,?,?,4.26,12.98,5.37,5.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.63,5.65,5.71,2.67,?,?,?,?,?,11.1,?,?,?,?,?,?,?,?,?,17400,113400,99100,108500,1048800
0.2,2.25,6.69,4.16,0.27,2.12,4,1.85,?,?,?,?,?,?,?,?,0.75,5.37,6.75,3.66,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,3.2,4.1,3.15,?,?,?,?,?,11.6,?,?,?,?,?,?,?,?,?,11600,27500,38300,41700,778700
0.45,0,6.3,13.26,0.1,0,9.46,6.08,?,?,?,?,?,?,?,?,0.35,0,20.3,10.37,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.38,0,7.77,7.63,?,?,?,?,?,6,?,?,?,?,?,?,?,?,9.6,11300,11800,162000,144000,829200
0.45,6.2,0.62,6.93,0.26,3.95,0.23,4.22,?,?,?,?,?,?,?,?,0.39,9.5,0.99,9.26,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.35,4.54,0.53,6,?,?,?,?,?,15.3,?,?,?,?,?,?,?,?,8,16800,34100,21000,57000,363900
0.7,5.4,14.69,4.96,1.93,3.12,11.93,5.2,?,?,?,?,?,?,?,?,7.4,6.72,17.16,10.08,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.7,5.62,13.83,6.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,16000,30300,165000,161100,1579800
0.08,1.15,4.24,12.34,0.2,0.82,2.72,7.54,0,0,0,0,?,?,?,?,0.7,2.5,4.72,11.83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,1.66,4.18,7.39,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10900,14100,23300,42900,977200
2.77,0.29,8.02,3.32,4.91,0.05,6.8,2.84,4.02,0.07,8.83,0.77,?,?,?,?,7.41,0.04,13.47,4.38,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.61,0,14.15,2.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,21500,33800,108300,159100,361700
1.59,5.72,2.89,6.5,2.05,3.9,2.9,4.96,1.77,3.75,2.54,8.49,?,?,?,?,3.93,11.96,5.13,13.46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.77,6.58,4.02,8.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10700,59100,53800,156100,1915000
2.09,1.72,4.47,13.42,1.67,1.49,2.77,9.44,1.89,1.68,2.32,9.38,?,?,?,?,4.94,2.32,5.62,22.61,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.78,2.48,3.46,12.03,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,21300,30200,34300,408100,1663800
1.2,0.28,8.89,7.84,0.27,0.06,4.4,5.62,0.28,0.04,4.96,7.24,?,?,?,?,0.54,0.41,7.05,7.51,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.64,0,5.74,7.84,?,?,?,?,?,9.5,?,?,?,?,?,?,?,?,?,10500,14500,23000,44200,1476800
1.73,4.69,9.2,7.62,1.54,4.9,10.33,3.12,1.19,4.84,7.59,3.88,?,?,?,?,3.81,12.11,15.57,6.18,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.01,6.18,1.85,4.91,7.72,5.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20300,53500,436400,129700,2475100
3.33,2.79,1.51,7.23,2.11,1.68,1.14,3.76,1.93,1.42,0.77,4.31,?,?,?,?,5.34,3.61,2.74,7.69,?,?,?,?,?,?,?,?,?,?,?,?,2.93,2.2,?,3.76,2.95,1.9,1.69,5.01,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,29800,40600,44400,49900,572700
3.52,0.77,1.25,15.64,2.43,0.26,1.21,13.5,2.56,0.32,1.25,11.18,?,?,?,?,4.87,1.69,4.73,27.01,?,?,?,?,?,?,?,?,?,?,?,?,3.17,0.9,2.57,13.03,2.65,0.93,3.41,16.75,?,?,?,?,?,12.9,?,?,?,?,?,?,?,?,?,27710,19310,28220,468150,1378500
2.08,1.76,14.04,10.36,1.44,2.59,10.12,4.92,1.34,2.97,9.82,4.68,?,?,?,?,2.98,8.73,22.27,16.26,?,?,?,?,?,?,?,?,?,?,?,?,1.74,1.25,10.97,5.96,1.45,1.68,11.84,8.11,?,?,?,?,?,26.8,?,?,?,?,?,?,?,?,?,15200,43800,249000,345400,1531000
1.33,2.82,17.36,10.91,1.11,1.83,9.96,8.44,1.55,1.87,10.1,7.56,?,?,?,?,2.13,6.05,24.81,15.99,?,?,?,?,0,4.27,16.1,12.4,?,?,?,?,0.53,2.78,10.27,9.01,1.06,3.77,12.13,10.54,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17800,48800,324500,582700,2054800
0.53,10.41,6.87,13.8,0.21,8.53,5.21,11.07,0.21,9.07,4.77,11.25,?,?,?,?,0.74,16.72,12.31,23.03,?,?,?,?,0.35,15.84,8.22,16.4,?,?,?,?,0.24,10.08,4.28,10.12,0.57,9.93,5.99,13.19,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,16900,154100,278100,691300,1387800
1.75,0.7,2.19,8.11,0.59,0.77,1.55,4.17,1.09,0.8,1.73,4.35,?,?,?,?,3.32,2.93,3.09,10,?,?,?,?,1.91,2.11,3.12,8.08,?,?,?,?,1.4,1.67,2.65,5.73,0.87,2.29,3.37,6.17,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,19430,24290,30500,58200,927520
3.99,6.12,4.1,1.36,2.04,7.65,3.7,1.02,1.01,7.28,3.5,0.86,?,?,?,?,4.38,13.7,8.39,2.73,?,?,?,?,2.95,13.37,5.81,1.37,?,?,?,?,?,7.76,4.22,1.1,2.45,9.55,4.13,1.55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10740,120380,124060,97240,1319960
7.57,7.86,14.6,2.97,5.9,4.85,11.14,2.02,7.16,5.07,9.41,2.16,?,?,?,?,10.54,11.58,20.65,3.77,?,?,?,?,8.59,10.69,17.27,3.28,?,?,?,?,4.72,6.62,11.82,1.65,6.25,7.57,12.36,1.39,?,?,?,?,?,34,?,?,?,?,?,?,?,?,?,35390,142610,544170,308490,1313620
3.05,9.35,3.84,5,1.37,8.44,2.28,1.8,1.56,6.67,2.82,1.91,?,?,?,?,2,12.73,6.82,3.13,?,?,?,?,2.98,9.99,5.17,3.06,0,9.23,4.43,2.4,1.93,6.05,3.53,1.49,2.21,6.98,4.56,1.91,?,?,20.2,?,?,?,?,?,?,?,?,?,?,?,?,18370,88000,86690,50430,679040
5.43,1.92,0.96,3.9,4.66,0.44,0.26,4.58,4.04,0.33,0.35,3.95,?,?,?,?,11.03,2.37,1.23,10.09,?,?,?,?,8.13,2.39,1.32,4.59,8.28,2.22,1.13,6.3,5.41,1.63,1.54,2.35,6.58,2.33,1.34,3.13,?,?,11.4,?,?,?,?,?,?,?,?,?,?,?,?,46680,43410,27980,170100,1699100
1.07,2.52,8.11,4.7,0.42,3.07,5.18,1.92,0.87,2.69,6.67,2.63,?,?,?,?,0.78,7.13,9.12,4.6,?,?,?,?,0.9,4.2,9.52,4.76,0.32,3.81,10.34,4.68,0.47,1.73,6.54,3.75,0.48,1.99,7.45,4.4,?,?,13.9,?,?,15.8,?,?,?,?,?,?,?,?,?,13910,35410,53710,48000,1243080
1.34,2.82,2.79,19.3,0.41,2.86,1.62,12.1,0.16,3.22,2.28,14.26,?,?,?,?,0.78,6.01,4.32,21.76,?,?,?,?,0.22,4.86,3.12,17.64,0.01,4.76,4.15,21.58,0.22,3.64,1.89,10.71,0.05,3.29,2.48,13.61,?,?,12.5,?,?,?,?,?,?,?,?,?,?,?,?,11510,25630,24510,301450,1593420
4.92,14.79,11.92,8.27,6.42,13.73,9.05,7,6.02,11.37,7.59,6.79,?,?,?,?,10.42,23.9,17.3,13.35,?,?,?,?,8.58,21.74,15.05,11.98,7.09,23.52,16.01,14.97,5.53,14.43,9.3,8.51,5.7,14.64,10.06,9.77,?,?,10.5,?,?,?,?,?,?,?,?,?,?,?,?,40470,984830,1054260,575680,1086880
3.8,6.86,14.68,17.88,4.53,4.47,13.04,15.33,3.43,5.91,12.62,11.61,?,?,?,?,8.63,10.81,20.17,18.63,?,?,?,?,7.62,8.4,16.71,16.48,6.49,10.01,18.15,21.3,4.51,6.01,9.99,12.88,3.88,6.51,11.96,14.74,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30380,97760,317330,540460,2864070
0.1,3.18,12.44,9.32,0.08,2.88,8.2,6.77,0.05,2.98,9.41,6.52,?,?,?,?,0.6,5.88,17.27,17.66,?,?,?,?,0,3.58,13.38,10.56,0,3.73,15.09,13.12,0,2.75,8.6,5.75,0,2.4,9.51,9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20120,29510,98890,454360,1630660
1.9,3.6,2.77,7.78,1.08,1.93,1.84,4.93,0.97,2.11,1.75,6.27,?,?,?,?,2.64,7.57,3.27,10.29,?,?,?,?,1.74,5.01,3.09,8.32,1.98,6.67,3.45,9.89,1.63,4.28,2.59,5.73,1.61,4.4,2.51,6.39,?,?,?,?,?,8.2,?,?,?,?,?,?,?,?,?,16480,53900,64520,122930,1053650
0,4.88,8.45,6.8,0,3.34,6.04,3.36,0,2.82,6.58,3.5,?,?,?,?,0.41,7.12,14.94,6.93,?,?,?,?,0,3.59,11.31,8.04,0.31,5.13,11.11,7.74,0.02,3.32,8.45,6.78,0.14,3.64,11.03,7.05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11770,28540,113990,133050,988200
0.42,7.25,29.41,13.96,0.43,3.12,22.77,12.93,0.25,2.76,23.65,10.83,?,?,?,?,0.29,7.81,44.9,21.29,?,?,?,?,0.18,5.1,31.04,16.8,0.52,5.81,34.15,17.89,0.26,4.16,20.39,11.04,0.27,3.98,23.29,11.92,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13300,28600,1247000,951800,1716700
7.17,0.4,3.95,6.54,6.48,0.03,2.06,5.15,5.4,0,2.07,5.94,?,?,?,?,10.47,0.16,4.01,7.44,?,?,?,?,6.53,0.29,3.76,7.45,6.16,0,2.28,6.29,3.47,0,2.4,5.91,3.57,0.03,1.62,5.01,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,32300,30700,48500,58100,1214500
1.75,4.89,6.62,7.41,2.1,2.02,5.88,5.16,1.99,2.23,7.2,5.72,?,?,?,?,5.55,5.46,10.87,11.33,?,?,?,?,1.7,3.64,7.99,8.99,3.11,3.44,8.38,9.95,1.77,2.84,5.31,6.89,2.08,2.65,6.69,8.39,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,21800,37400,97900,163500,2570200
0.43,2.84,1.4,8.25,0.36,0.78,1.42,6,0.34,1.52,1.28,7.06,?,?,?,?,0.84,3.27,3.15,13.93,?,?,?,?,0.22,2.39,1.6,9.15,0.4,2.4,2.2,11.38,0.13,1.01,1.39,8,0.28,1.1,1.59,8.73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14500,22500,24400,149400,590600
0.06,0.03,2.8,6.17,0,0,1.47,5.17,0,0,1.52,5.56,?,?,?,?,0.04,0,3.81,13.72,?,?,?,?,0,0,2.23,9.44,0,0,3.44,11.06,0,0,1.38,7.49,0,0,2.21,7.76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11980,12600,20040,63110,782830
2.45,6.46,2.18,1.42,0.38,4.8,2.18,1,0.72,4.45,2.14,0.79,?,?,?,?,1.08,9.77,4.76,3.57,?,?,?,?,1.19,7.15,3.42,1.63,0.54,9.49,3.75,2.35,0.9,5.66,2.14,1.33,0.39,6.98,2.38,1.85,?,?,16.3,?,?,?,?,?,?,?,?,?,?,?,?,9000,49800,39400,31100,631900
2.82,5.02,3,5.14,2.26,2.01,1.56,2.91,1.85,2.13,1,2.11,?,?,?,?,3.29,6.37,5.1,4.86,?,?,?,?,1.38,2.9,3.78,3.42,1.53,5.31,4.32,4.63,0.83,2.87,3.08,2.86,0.73,2.98,3.2,3.51,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10440,13700,50530,47050,1274530
10.06,1.89,2.99,10.26,8.34,2.28,3.66,5.73,8.53,1.87,2.35,4.42,?,?,?,?,23.22,4.09,7.33,11.94,?,?,?,?,12.04,2.17,4.66,5.26,17.87,2.87,6.24,6.23,11.69,1.62,4.47,3.08,11.39,1.28,4.32,4.05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,334860,44700,178010,258760,1756620
4.15,11.89,1.7,9.24,1.9,8.26,0.91,4.89,1.27,7.51,0.72,5.74,?,?,?,?,4.24,17.9,1.82,14.76,?,?,?,?,3.96,10.36,1.27,9.23,4.34,13.26,1.38,10.09,3.26,6.84,0.88,6.99,2.83,8.63,0.87,6.73,?,?,?,5.4,?,8.4,?,4.9,?,?,6.7,0,?,?,?,32030,200790,83320,156250,910690
1.34,12.72,30.01,11.96,0.76,5.05,27.55,7.74,0.42,4.72,19.37,8.28,?,?,?,?,1.94,13.44,47.39,15.61,?,?,?,?,1.8,10.18,31.77,9.35,2.3,9.23,32.19,10.99,1.96,6.77,19.1,6.9,1.82,6.66,18.32,7.42,?,?,?,?,27.8,?,?,?,?,?,?,?,?,?,?,10800,64000,1509300,773900,1539800
0.46,13.28,7.98,3.74,0.45,8.09,6.24,2.63,0.26,7.79,7.15,2.09,?,?,?,?,0.99,13.48,9.99,7,?,?,?,?,1.09,10.79,8,4.88,0.65,9.81,8.96,3.82,0.79,7.29,7.08,3.54,0.58,8.51,6.73,3.5,22.5,?,?,18.4,19.3,20.9,21.8,18.5,?,?,19,12.2,?,18.2,?,26000,74500,80500,121700,739800
0,9.15,10.45,16.59,0.08,6.15,7.36,11.4,0.02,8.06,6.79,11.96,?,?,?,?,0,16.14,12.54,20.74,?,?,?,?,0.05,10.46,7.53,13.77,0,11.99,10.34,17.61,0,6.57,7.57,11.09,0,8.23,7.03,12.3,?,?,?,11.1,14.1,19.1,15.8,8.5,?,?,12,5,?,11,?,7300,76900,277500,420700,2329200
